"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"FC Twente";"ADO Den Haag";1;1;"D";"2014-04-02";"2013/2014";"54.4";"45.6";"16";"8";"5";"3";"5";"4";"6";"1";"84.6";"78.4";"72.3";"58.4";"12";"6";"1";"0";"28.6";"46.2";"46.7";"23.1";"6";"3";"5";"2";"58";"56";"78.6";"93.8";"12";"13";"1";"5";"13";"16";"4";"5";"40";"60";"1";"2";"2";"4";"100";"100";"17";"17";"17";"15";"0";"0";"2";"0"
"FC Utrecht";"Cambuur Leeuwarden";1;0;"W";"2014-04-02";"2013/2014";"46.3";"53.7";"10";"15";"6";"2";"3";"10";"1";"3";"69.3";"73.9";"58.5";"57.4";"7";"12";"2";"1";"30.8";"18.2";"45.5";"38.1";"8";"5";"6";"0";"56";"61";"62.5";"92.3";"12";"13";"3";"1";"48";"36";"30";"22";"70.6";"29.4";"4";"1";"2";"5";"100";"100";"17";"15";"14";"14";"1";"2";"0";"1"
"Go Ahead Eagles";"NAC Breda";2;1;"W";"2014-04-02";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heracles Almelo";"Feyenoord";1;2;"L";"2014-04-02";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"RKC Waalwijk";"Ajax";0;2;"L";"2014-04-02";"2013/2014";"37.5";"62.5";"11";"20";"3";"8";"5";"10";"3";"2";"74.4";"85.7";"51.7";"70.8";"9";"16";"0";"1";"30";"18.8";"50";"52.9";"3";"7";"3";"1";"54";"67";"61.9";"77.3";"9";"10";"2";"3";"26";"28";"14";"16";"52.4";"47.6";"3";"1";"7";"3";"100";"100";"14";"15";"15";"13";"0";"0";"0";"0"
"Feyenoord";"Go Ahead Eagles";5;0;"W";"2014-03-30";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajax";"FC Twente";3;0;"W";"2014-03-30";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Cambuur Leeuwarden";"AZ Alkmaar";0;0;"D";"2014-03-30";"2013/2014";"56";"44";"16";"8";"3";"3";"11";"3";"2";"2";"82";"77.1";"60.7";"56.5";"10";"6";"0";"0";"31.8";"25";"57.9";"21.1";"6";"2";"2";"1";"58";"56";"73.7";"100";"14";"22";"2";"2";"21";"42";"15";"21";"41.4";"58.6";"4";"1";"3";"3";"0";"0";"17";"15";"14";"17";"1";"2";"0";"0"
"Roda JC Kerk";"RKC Waalwijk";0;1;"L";"2014-03-30";"2013/2014";"71.5";"28.5";"22";"9";"4";"3";"8";"5";"10";"1";"82.8";"62.4";"69.2";"55.4";"18";"7";"3";"0";"28.3";"20";"54.5";"23.1";"10";"0";"0";"2";"58";"60";"66.7";"78.6";"11";"17";"1";"10";"24";"45";"16";"16";"41.2";"58.8";"2";"6";"2";"4";"100";"100";"11";"16";"14";"10";"2";"2";"0";"0"
"ADO Den Haag";"PEC Zwolle";1;1;"D";"2014-03-30";"2013/2014";"37.7";"62.3";"20";"10";"7";"3";"13";"5";"0";"2";"75.2";"83.7";"58.4";"58.3";"16";"7";"1";"2";"47.1";"20";"50";"63.6";"8";"4";"3";"2";"44";"51";"76.9";"75";"7";"7";"2";"0";"26";"9";"16";"6";"60";"40";"1";"2";"2";"6";"100";"100";"16";"16";"16";"15";"3";"2";"0";"0"
